,airport_code,airport_name,city,coordinates,timezone
41,IWA,"{""en"": ""Ivanovo South Airport"", ""ru"": ""Иваново-Южный""}","{""en"": ""Ivanovo"", ""ru"": ""Иваново""}","(40.940799713134766,56.93939971923828)",Europe/Moscow
42,PYJ,"{""en"": ""Polyarny Airport"", ""ru"": ""Полярный""}","{""en"": ""Yakutia"", ""ru"": ""Удачный""}","(112.029998779,66.4003982544)",Asia/Yakutsk
43,KXK,"{""en"": ""Komsomolsk-on-Amur Airport"", ""ru"": ""Хурба""}","{""en"": ""Komsomolsk-on-Amur"", ""ru"": ""Комсомольск-на-Амуре""}","(136.9340057373047,50.409000396728516)",Asia/Vladivostok
44,DYR,"{""en"": ""Ugolny Airport"", ""ru"": ""Анадырь""}","{""en"": ""Anadyr"", ""ru"": ""Анадырь""}","(177.74099731445312,64.73490142822266)",Asia/Anadyr
45,PES,"{""en"": ""Petrozavodsk Airport"", ""ru"": ""Бесовец""}","{""en"": ""Petrozavodsk"", ""ru"": ""Петрозаводск""}","(34.154701232910156,61.88520050048828)",Europe/Moscow
46,KYZ,"{""en"": ""Kyzyl Airport"", ""ru"": ""Кызыл""}","{""en"": ""Kyzyl"", ""ru"": ""Кызыл""}","(94.40059661865234,51.66939926147461)",Asia/Krasnoyarsk
47,NOZ,"{""en"": ""Spichenkovo Airport"", ""ru"": ""Спиченково""}","{""en"": ""Novokuznetsk"", ""ru"": ""Новокузнецк""}","(86.877197265625,53.8114013671875)",Asia/Novokuznetsk
48,GRV,"{""en"": ""Khankala Air Base"", ""ru"": ""Грозный""}","{""en"": ""Grozny"", ""ru"": ""Грозный""}","(45.78409957885742,43.298099517822266)",Europe/Moscow
49,NAL,"{""en"": ""Nalchik Airport"", ""ru"": ""Нальчик""}","{""en"": ""Nalchik"", ""ru"": ""Нальчик""}","(43.636600494384766,43.512901306152344)",Europe/Moscow
50,OGZ,"{""en"": ""Beslan Airport"", ""ru"": ""Беслан""}","{""en"": ""Beslan"", ""ru"": ""Владикавказ""}","(44.6066017151,43.2051010132)",Europe/Moscow
51,ESL,"{""en"": ""Elista Airport"", ""ru"": ""Элиста""}","{""en"": ""Elista"", ""ru"": ""Элиста""}","(44.33089828491211,46.3739013671875)",Europe/Moscow
52,SLY,"{""en"": ""Salekhard Airport"", ""ru"": ""Салехард""}","{""en"": ""Salekhard"", ""ru"": ""Салехард""}","(66.61100006103516,66.5907974243164)",Asia/Yekaterinburg
53,HMA,"{""en"": ""Khanty Mansiysk Airport"", ""ru"": ""Ханты-Мансийск""}","{""en"": ""Khanty-Mansiysk"", ""ru"": ""Ханты-Мансийск""}","(69.08609771728516,61.028499603271484)",Asia/Yekaterinburg
54,NYA,"{""en"": ""Nyagan Airport"", ""ru"": ""Нягань""}","{""en"": ""Nyagan"", ""ru"": ""Нягань""}","(65.61499786376953,62.11000061035156)",Asia/Yekaterinburg
55,OVS,"{""en"": ""Sovetskiy Airport"", ""ru"": ""Советский""}","{""en"": ""Sovetskiy"", ""ru"": ""Советский""}","(63.60191345214844,61.326622009277344)",Asia/Yekaterinburg
56,IJK,"{""en"": ""Izhevsk Airport"", ""ru"": ""Ижевск""}","{""en"": ""Izhevsk"", ""ru"": ""Ижевск""}","(53.45750045776367,56.82809829711914)",Europe/Samara
57,KVX,"{""en"": ""Pobedilovo Airport"", ""ru"": ""Победилово""}","{""en"": ""Kirov"", ""ru"": ""Киров""}","(49.348300933838,58.503299713135)",Europe/Moscow
58,NYM,"{""en"": ""Nadym Airport"", ""ru"": ""Надым""}","{""en"": ""Nadym"", ""ru"": ""Надым""}","(72.69889831542969,65.48090362548828)",Asia/Yekaterinburg
59,NFG,"{""en"": ""Nefteyugansk Airport"", ""ru"": ""Нефтеюганск""}","{""en"": ""Nefteyugansk"", ""ru"": ""Нефтеюганск""}","(72.6500015258789,61.108299255371094)",Asia/Yekaterinburg
60,KRO,"{""en"": ""Kurgan Airport"", ""ru"": ""Курган""}","{""en"": ""Kurgan"", ""ru"": ""Курган""}","(65.41560363769531,55.47529983520508)",Asia/Yekaterinburg
61,EGO,"{""en"": ""Belgorod International Airport"", ""ru"": ""Белгород""}","{""en"": ""Belgorod"", ""ru"": ""Белгород""}","(36.5900993347168,50.643798828125)",Europe/Moscow
62,URS,"{""en"": ""Kursk East Airport"", ""ru"": ""Курск-Восточный""}","{""en"": ""Kursk"", ""ru"": ""Курск""}","(36.29560089111328,51.7505989074707)",Europe/Moscow
63,LPK,"{""en"": ""Lipetsk Airport"", ""ru"": ""Липецк""}","{""en"": ""Lipetsk"", ""ru"": ""Липецк""}","(39.53779983520508,52.70280075073242)",Europe/Moscow
64,VKT,"{""en"": ""Vorkuta Airport"", ""ru"": ""Воркута""}","{""en"": ""Vorkuta"", ""ru"": ""Воркута""}","(63.993099212646484,67.48860168457031)",Europe/Moscow
65,UUA,"{""en"": ""Bugulma Airport"", ""ru"": ""Бугульма""}","{""en"": ""Bugulma"", ""ru"": ""Бугульма""}","(52.801700592041016,54.63999938964844)",Europe/Moscow
66,JOK,"{""en"": ""Yoshkar-Ola Airport"", ""ru"": ""Йошкар-Ола""}","{""en"": ""Yoshkar-Ola"", ""ru"": ""Йошкар-Ола""}","(47.904701232910156,56.700599670410156)",Europe/Moscow
67,CSY,"{""en"": ""Cheboksary Airport"", ""ru"": ""Чебоксары""}","{""en"": ""Cheboksary"", ""ru"": ""Чебоксары""}","(47.3473014831543,56.090301513671875)",Europe/Moscow
68,ULY,"{""en"": ""Ulyanovsk East Airport"", ""ru"": ""Ульяновск-Восточный""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}","(48.80270004272461,54.4010009765625)",Europe/Samara
69,OSW,"{""en"": ""Orsk Airport"", ""ru"": ""Орск""}","{""en"": ""Orsk"", ""ru"": ""Орск""}","(58.59560012817383,51.0724983215332)",Asia/Yekaterinburg
70,PEZ,"{""en"": ""Penza Airport"", ""ru"": ""Пенза""}","{""en"": ""Penza"", ""ru"": ""Пенза""}","(45.02109909057617,53.110599517822266)",Europe/Moscow
71,SKX,"{""en"": ""Saransk Airport"", ""ru"": ""Саранск""}","{""en"": ""Saransk"", ""ru"": ""Саранск""}","(45.212257385253906,54.12512969970703)",Europe/Moscow
72,TBW,"{""en"": ""Donskoye Airport"", ""ru"": ""Донское""}","{""en"": ""Tambow"", ""ru"": ""Тамбов""}","(41.482799530029,52.806098937988)",Europe/Moscow
73,UKX,"{""en"": ""Ust-Kut Airport"", ""ru"": ""Усть-Кут""}","{""en"": ""Ust-Kut"", ""ru"": ""Усть-Кут""}","(105.7300033569336,56.8567008972168)",Asia/Irkutsk
74,GDZ,"{""en"": ""Gelendzhik Airport"", ""ru"": ""Геленджик""}","{""en"": ""Gelendzhik"", ""ru"": ""Геленджик""}","(38.0124807358,44.5820926295)",Europe/Moscow
75,IAR,"{""en"": ""Tunoshna Airport"", ""ru"": ""Туношна""}","{""en"": ""Yaroslavl"", ""ru"": ""Ярославль""}","(40.15739822387695,57.560699462890625)",Europe/Moscow
76,NBC,"{""en"": ""Begishevo Airport"", ""ru"": ""Бегишево""}","{""en"": ""Nizhnekamsk"", ""ru"": ""Нижнекамск""}","(52.092498779296875,55.564701080322266)",Europe/Moscow
77,ULV,"{""en"": ""Ulyanovsk Baratayevka Airport"", ""ru"": ""Баратаевка""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}","(48.226699829100006,54.26829910279999)",Europe/Samara
78,SWT,"{""en"": ""Strezhevoy Airport"", ""ru"": ""Стрежевой""}","{""en"": ""Strezhevoy"", ""ru"": ""Стрежевой""}","(77.66000366210001,60.709400177)",Asia/Krasnoyarsk
79,EYK,"{""en"": ""Beloyarskiy Airport"", ""ru"": ""Белоярский""}","{""en"": ""Beloyarsky"", ""ru"": ""Белоярский""}","(66.698600769,63.686901092499994)",Asia/Yekaterinburg
